"","GSM4731601","GSM4731602","GSM4731603","GSM4731604","GSM4731605","GSM4731606","GSM4731607","GSM4731608","GSM4731609","GSM4731610","GSM4731611","GSM4731612","GSM4731613","GSM4731614","GSM4731615","GSM4731616","GSM4731617","GSM4731618"
"CNTRL",5.931817755,5.816926557,6.324380608,5.892791334,6.398854389,5.820965423,5.671139622,6.067897782,6.263800448,5.994629921,6.101326209,6.276386683,6.588252529,6.862535323,6.952380607,7.48909795,7.431844439,6.904314517
"RRS1",7.262534889,6.862056168,8.028604068,7.297459403,7.831488778,7.409110383,6.995618841,7.214680937,7.832734021,7.747250835,7.845398399,8.072925255,8.154376936,8.62133602,8.50362143,9.083413713,8.759396673,8.047146717
"C8orf44-SGK3",6.970837474,6.787792275,6.993549983,6.889121984,7.31938503,6.878310718,6.666700803,7.038366982,7.234526384,6.692095397,6.773572253,6.774011035,5.502408927,5.700744619,5.709046444,5.930648433,5.745589441,5.464522908
"SGK3",6.970837474,6.787792275,6.993549983,6.889121984,7.31938503,6.878310718,6.666700803,7.038366982,7.234526384,6.692095397,6.773572253,6.774011035,5.502408927,5.700744619,5.709046444,5.930648433,5.745589441,5.464522908
"SNHG6",6.525921407,6.353922461,6.526605527,6.472404132,6.924688538,6.433264786,6.340830291,6.416118652,6.829570222,6.470731992,6.531063351,6.57057299,5.608942496,5.732159925,5.729071896,5.535244661,5.765053988,5.330184356
"SNORD87",6.525921407,6.353922461,6.526605527,6.472404132,6.924688538,6.433264786,6.340830291,6.416118652,6.829570222,6.470731992,6.531063351,6.57057299,5.608942496,5.732159925,5.729071896,5.535244661,5.765053988,5.330184356
"SULF1",6.643987188,6.397327732,6.760459792,6.552072338,6.967027489,6.376004148,6.290514013,6.603908153,6.624943933,6.556466783,6.546799929,6.607405649,7.717179809,7.859650884,7.723397193,8.921654145,8.910528668,8.507293612
"ZBTB43",7.08415981,6.98969842,6.823242412,6.963866698,7.106282755,7.007129589,6.83863413,6.952864613,7.289350004,7.169826274,7.182059183,7.165476889,7.622113363,7.634824811,7.687903509,8.401984612,8.261821344,8.127465342
"RALGPS1",6.848411996,6.78144345,6.688880501,6.817960703,6.839404629,6.838429281,6.701648691,6.841944643,6.766502839,6.774602519,6.734991229,6.476797323,6.092418389,6.161962635,6.200891046,6.02786804,5.995720189,6.064111287
"HUS1",7.19816634,7.023590133,7.38875492,7.18489691,7.332474255,7.162664761,6.898064326,7.366948321,7.582591306,7.421784016,7.300379127,7.424765988,7.866526071,8.207030399,7.835931577,8.183134834,8.401755151,8.088298749
"UBE2W",6.880698508,6.708604093,7.18860081,6.806117502,7.313933977,6.731656669,6.598948427,6.922831925,7.394596939,6.877170713,6.99757993,7.374825026,7.171367177,7.507130909,7.529287446,7.705089904,8.182203837,7.423367233
"GDAP1",6.153089243,6.20130695,6.412997573,6.214675015,6.260035588,6.232999797,6.095857912,6.226003937,6.375019573,6.467561607,6.379293346,6.527468643,6.744248054,6.683268239,6.891892766,7.319440234,7.509280249,7.114744229
"AL442663.4",6.334056971,6.278690731,6.135210518,6.347357995,6.000792915,6.718682484,5.827950491,5.961136364,6.123083304,6.004871516,5.815749262,5.304775529,5.138321785,5.829697348,5.634686469,5.557812925,5.325252149,5.72216101
"FKBP9P1",7.738637741,7.50895625,7.468443705,7.66220535,7.573869589,7.596037603,7.614288336,7.661999333,7.543587567,7.546036067,7.510593179,7.328911639,6.659544988,6.800691851,6.684532458,6.469820658,6.565328805,6.664141982
"SPTAN1",8.518308467,8.44333287,8.511952306,8.508436852,8.445588301,8.540481394,8.35543768,8.550282113,8.321489023,8.723773379,8.778534019,8.395934947,9.354358766,9.227012428,9.199213213,10.06558777,9.544835244,9.708342104
"AC092745.4",5.867289288,5.931975836,6.401764589,6.126853816,6.551943425,6.219358626,6.163697922,5.768108578,6.346992952,6.139791902,6.080788371,5.992182147,6.409872667,6.977710929,6.97227253,6.87343076,7.38111096,7.322576168
"AL441992.1",6.58081301,6.501978734,6.815397933,6.547507994,6.501444772,6.594973661,6.26046014,6.435066489,6.545782792,5.974727815,6.18043906,5.581489355,5.343418699,4.892035271,4.960011231,4.667641914,5.024113942,4.74108379
"PTDSS1",8.889995201,8.777379372,8.500362625,8.862484733,8.654928597,8.883951795,8.676962028,8.840603386,8.662143011,8.835912322,8.694621577,8.435882809,7.832858315,7.978552335,7.742845149,7.518830029,7.428942798,7.303160636
"POP1",7.249694518,6.989162403,7.133461362,7.226846262,7.269618763,7.296426084,7.03148268,7.105740039,7.144201602,7.151121112,7.203496242,6.912520763,6.435202747,6.473451529,6.368340488,6.646272597,6.403664095,6.306807314
"AIF1L",7.222898731,7.276977248,6.825876364,7.248378278,6.75474078,7.270977087,7.253997842,7.11224594,6.786863666,7.051795393,6.992450355,6.473071474,6.275573489,5.736470952,5.780306061,5.967719911,5.576714773,6.198107698
"ZNNT1",4.992195515,4.895272494,5.516088418,4.700529685,5.058721986,4.954945025,4.726021949,4.88754102,5.3686559,4.961883748,5.032256675,5.103296522,5.932006353,6.257363476,6.181211281,6.850783514,7.06208393,6.705946152
"KLF10",5.425700654,4.973833681,5.461826081,5.229453986,6.082636096,5.238818722,4.877470877,5.35913771,5.821356088,5.501272707,5.78993402,6.0098479,7.209587428,7.217235513,7.101134282,9.079232253,8.242135573,8.253826584
"AP002851.1",4.422293608,4.626293245,4.881396617,4.449030766,4.050318284,4.633231068,4.614845816,4.556871929,4.70333385,4.463169162,4.657283673,4.679354999,5.086127771,4.980116446,5.091686923,5.64610615,5.685736036,5.795431216
"RIMS2",4.067907432,3.800016251,3.455259687,4.074782584,3.874899198,3.916307745,3.892306525,3.888007099,4.024113164,3.773374808,3.856035553,4.44023551,4.308102272,4.397651951,4.506191727,4.933512371,5.067771058,4.479659112
"BRD3OS",7.309861608,7.503736447,7.175752084,7.439428992,7.093431277,7.314911453,7.348856923,7.386188755,7.10823228,7.201443586,7.037933884,6.916885741,6.747640204,6.476864322,6.629290179,6.226116215,6.352018915,6.73490524
"DTX2",7.79554472,7.954076401,7.699536668,7.899912143,7.701815547,7.909416393,7.845796241,7.807775673,7.770319508,7.790092267,7.665505572,7.602003935,7.166468599,7.332624726,7.335791742,6.949882869,6.87088566,7.075004583
"SAMD12-AS1",4.39599371,4.094913308,4.504082803,4.319716103,4.419798255,4.395419213,4.419231432,4.429817614,4.333009438,4.480096368,4.403172831,4.308197862,4.996680204,5.079183269,5.159091252,5.314652011,5.902533659,5.667038256
"FBXO32",3.444869334,4.039898449,3.699191689,3.881718112,4.167414302,3.862076834,3.824793383,4.076227418,3.918977644,3.831950899,4.044276471,3.923934391,5.227304464,5.205204912,5.319950974,6.546108709,5.984888478,5.556871362
"RNF139-AS1",6.194327679,5.977508137,6.128858873,6.078727185,6.193635693,6.013135256,5.908437281,6.245818905,6.38439457,5.920257467,5.813412698,6.043738126,5.177690397,5.709829562,5.625662565,5.064512984,5.472014134,5.158055945
"TATDN1",8.459997188,8.124986968,8.745432863,8.279600421,8.711091663,8.183012917,8.153113131,8.478528777,8.864237527,8.553946902,8.606893983,8.787015164,9.139275222,9.279786559,9.255470735,9.521913993,9.60736294,9.105624845
"SQLE",9.962336218,9.836660626,10.11573603,9.920262482,10.03810944,9.895873727,9.805999493,9.939481646,10.11823631,9.803282249,9.769184776,9.991815311,9.03981333,9.317277781,9.208222893,9.095381177,9.088935512,8.5980673
"TRIB1",6.779006282,6.827600225,6.481146516,6.789988973,6.681810622,6.808408589,6.77403152,6.860451009,6.566030016,6.831434971,6.817879417,6.680834324,7.604057798,7.42313195,7.549362286,7.923402567,7.653316661,7.968469204
"AC005045.2",7.119297087,7.070305507,7.901957938,6.943514779,7.78403042,7.05151914,6.839195423,7.356858618,7.984496489,7.174857903,7.127639423,7.481161218,6.172150749,7.052386242,6.945182959,5.836633593,6.419110514,5.653403698
"CROT",7.119297087,7.070305507,7.901957938,6.943514779,7.78403042,7.05151914,6.839195423,7.356858618,7.984496489,7.174857903,7.127639423,7.481161218,6.172150749,7.052386242,6.945182959,5.836633593,6.419110514,5.653403698
"GTPBP10",7.874532994,7.603733606,8.160937305,7.830908742,8.372578395,7.798941311,7.569406793,7.825663349,8.50920258,8.264446631,8.2150589,8.393117088,8.59117519,9.015709234,9.136632802,8.927156246,9.115238551,8.439576532
"PHF20L1",6.100701064,5.842700652,6.553042856,6.067608029,6.590960015,6.001085525,5.767021948,6.151801548,6.600335143,6.151083969,6.167280715,6.483793788,6.417854069,6.885614251,6.896908397,7.27168288,7.38502882,6.728913076
"ST3GAL1",9.010897656,8.847603728,8.320492264,8.951136392,8.449453681,8.824136615,8.761087824,8.87493528,8.674017933,9.252493121,9.147353604,8.727127198,10.69875248,10.51492311,10.62372817,11.22740595,10.70199888,11.03182993
"TFPI2",5.668345927,5.357428128,5.792403262,5.697604099,5.772816219,5.489954225,5.229558688,5.496498025,6.002898055,5.757348584,5.464963145,5.81019867,5.897816688,6.378445949,6.117576419,6.472863521,7.17251332,6.357800296
"RHPN1-AS1",7.187474427,7.39222269,7.069275146,7.358037143,7.535175839,7.598466895,7.214696257,7.401900445,7.389477099,7.229212708,7.079342616,6.893925816,6.251334451,6.332494146,6.45615925,5.743483993,6.470371934,6.534401141
"TRIM4",7.070677967,6.96269643,7.210487169,7.123358794,7.313808298,7.126967402,6.879627798,7.196615953,7.13896457,7.148552098,7.167109373,7.360221982,7.814301693,7.943621429,8.01239865,8.067059155,8.606761439,8.489749836
"AC105052.3",9.855883538,9.913873725,9.293072086,9.821488405,9.667175508,9.970404589,9.867805197,9.805662726,9.445353917,9.905232726,9.912042525,9.379921531,9.205930123,9.051633663,8.936937598,8.767916619,8.893866896,9.375146846
"LSMEM1",4.581167299,4.373804329,4.735414295,4.440359493,4.791958784,4.544617235,4.208308617,4.639820027,4.740445371,4.614963067,4.719241176,4.885160917,4.806833583,5.089180129,4.966690271,5.872895912,5.888372319,5.304347429
"TMEM139",5.556115347,5.606926238,5.224619133,5.492785478,5.469462257,5.670710405,5.646741757,5.602066401,5.610110898,5.731157436,5.62275495,5.643708069,6.16084644,6.256718787,6.213212154,6.445490491,6.197991484,6.538929535
"CDK5",8.635283476,8.570699814,8.189124483,8.463628652,8.150776922,8.823913808,8.420049565,8.519751349,8.234009092,8.561811255,8.501983847,8.306435896,7.600772074,7.572476821,7.5805147,7.697279874,7.481596473,7.819333577
"LMBR1",8.53363085,8.590571602,8.980541599,8.302147787,8.700081113,8.500256552,8.279945642,8.50427894,8.763712782,8.352438065,8.294463052,8.51775907,7.379718164,7.42596921,7.280874684,6.961505347,7.136459768,7.184354871
"ESYT2",8.950482604,8.86649891,8.722028299,8.963203254,8.996135437,8.965225824,8.839036182,8.944548371,8.875801472,8.961125797,8.939118835,8.66938768,9.493501191,9.419803111,9.349070806,9.935994511,9.748483747,9.73285802
"SEPTIN14P21",6.265586147,6.115971501,6.255779868,6.484419597,6.958652071,6.291201621,5.960547111,6.682168509,7.091958661,6.645592641,6.528483111,7.0154936,6.529788595,7.421631621,7.183367991,7.528223098,7.676533919,7.020458521
"PLXDC1",6.334056971,6.278690731,6.135210518,6.347357995,6.000792915,6.718682484,5.827950491,5.961136364,6.123083304,6.004871516,5.815749262,5.304775529,5.138321785,5.829697348,5.634686469,5.557812925,5.325252149,5.72216101
"MT-TF",12.68760926,12.63201064,12.66440996,12.92079529,12.77801081,12.56855653,12.79264583,12.57539631,13.05189817,12.58150413,12.56784821,13.14553777,12.13233989,12.09249783,12.21546606,11.6631802,12.16420552,11.9987972
"MT-RNR1",12.68760926,12.63201064,12.66440996,12.92079529,12.77801081,12.56855653,12.79264583,12.57539631,13.05189817,12.58150413,12.56784821,13.14553777,12.13233989,12.09249783,12.21546606,11.6631802,12.16420552,11.9987972
"MT-TV",12.68760926,12.63201064,12.66440996,12.92079529,12.77801081,12.56855653,12.79264583,12.57539631,13.05189817,12.58150413,12.56784821,13.14553777,12.13233989,12.09249783,12.21546606,11.6631802,12.16420552,11.9987972
"MT-RNR2",12.68760926,12.63201064,12.66440996,12.92079529,12.77801081,12.56855653,12.79264583,12.57539631,13.05189817,12.58150413,12.56784821,13.14553777,12.13233989,12.09249783,12.21546606,11.6631802,12.16420552,11.9987972
"GOLGA2P10",9.907210484,10.0329652,10.00352929,9.835251473,9.57006538,10.01044723,9.739545908,9.844960286,9.646761469,9.758082611,9.707229503,9.271297388,8.735386376,8.921133382,8.740638389,8.425640982,8.84259438,8.953164516
"SLC25A6",10.75308403,10.74255925,10.55177856,10.74259291,10.5963129,10.8259003,10.62200092,10.6875266,10.28970148,10.57641607,10.59872191,10.20425759,9.960928532,10.05401983,10.00875512,9.71634203,9.86036312,10.10615472
"ANOS1",6.141642663,6.050070078,6.306509256,6.169762912,6.433061703,6.246248243,6.040619556,6.131521021,6.204389778,6.18333353,6.146354399,6.036804697,6.486989347,6.639274773,6.697773644,7.211904237,7.650402721,7.408364135
"RAB9A",6.521964904,6.509770705,6.567080538,6.495126882,6.469164361,6.565566968,6.3182996,6.408192991,6.293364865,6.445002898,6.476479691,6.249217685,6.897909425,6.808419654,6.829503728,7.479772948,7.245034756,7.53790338
"NHS",5.749398225,5.75596602,6.001846164,5.790467861,6.004242731,5.732560823,5.845481959,5.706447521,5.870086871,5.736500869,5.675557909,5.730381032,6.221823608,6.391402102,6.653736057,6.775720596,6.71760677,6.938724207
"SCML2",5.774852673,5.580023395,6.144943275,5.751382435,5.974347928,5.718390103,5.636480521,5.743045126,5.950403403,6.113303752,6.036270606,6.105282064,6.351410063,6.434814712,6.428901629,6.59864898,6.764596608,6.55619219
"BCOR",7.547204582,7.388434075,7.544617116,7.531263724,7.637591589,7.366934459,7.329808953,7.63367294,7.60680305,7.757858991,7.739690904,7.76056769,8.285999681,8.346544457,8.523242296,9.156290765,9.066953408,8.790632936
"FAM120AOS",6.300927384,5.925334182,6.731392247,6.206608906,6.913217149,6.185168749,5.845633488,6.195571477,6.520795865,6.201849857,5.852410506,6.154098938,6.756246796,6.90154642,7.405512155,7.469457058,7.870049075,7.186311789
"TIMP1",7.915674937,8.133636718,7.477763216,8.052406096,7.673587965,8.002726496,8.006522291,7.971167171,7.49108999,7.819840782,7.764441762,7.364532018,7.034769241,6.966217332,7.012388331,6.592700972,6.968868399,7.40992065
"PORCN",6.798848135,7.056369203,7.306198646,7.027999332,7.063327316,7.017499952,7.006856171,6.999193324,7.12396864,6.887916025,6.686025626,7.021342525,6.281103074,6.622159674,6.459774494,5.749267172,6.145694424,6.194187713
"EBP",8.826870023,8.740316305,8.115586098,8.559240669,7.994265361,8.749590821,8.573343427,8.531856117,8.119848758,8.607502926,8.502013094,7.98383223,7.802998853,7.339372434,7.340081391,7.537728609,7.252981764,7.911987866
"MAGED1",8.460296558,8.450347436,8.209758376,8.441453406,8.191299766,8.481295497,8.3027459,8.491523202,8.227785784,8.336740355,8.324275288,8.027145345,7.298105237,7.522253775,7.442150014,7.533233652,7.183772015,7.434378614
"MAGED2",8.464731999,8.464538462,7.511598156,8.387511204,7.793745757,8.530789916,8.348383888,8.497681171,7.712197807,8.350747213,8.492187437,7.450964852,7.245592061,6.777783624,6.757002775,7.455266927,6.750298897,7.310639435
"TLE1P1",8.202519012,7.952982953,8.748924538,8.132747983,8.219528667,8.227029229,7.908853219,8.288297496,8.294510404,8.325157741,8.350591705,8.097656754,8.528126496,8.916483467,8.592631707,8.970773603,9.301435078,9.028821761
"CCNYL5",4.885989706,4.555966218,4.248364895,4.727660733,4.605790639,4.322758069,4.615404492,4.611858707,4.819974773,4.792337183,4.72717118,4.787052549,5.186024846,4.663052224,5.382420658,6.299517496,5.7799572,5.708581458
"KIF4A",8.614262311,8.311046028,8.477888481,8.444129595,8.550786415,8.502333426,8.332472848,8.659941028,8.694131349,8.775827957,8.816131568,8.766552609,9.109032365,9.284078759,9.32122587,9.712340968,9.488699551,9.360039262
"ZNF711",4.73002846,4.707678243,5.260920528,4.73296751,5.226705864,4.659026295,4.668213848,4.811780057,5.180818868,4.807933149,4.891750326,5.098672893,5.586408971,5.899830702,5.991782745,6.274073223,6.649249933,5.910953185
"DIAPH2",6.47032627,6.233197079,6.860488333,6.31265615,7.111775209,6.342807863,6.054377632,6.519028407,7.015615348,6.465813338,6.450021579,6.870911127,6.603849943,7.069753756,7.258997271,7.685694679,8.034156833,7.270692738
"LINC00630",6.330456049,6.066281543,6.529277321,6.197379462,6.508397045,6.105311404,5.934415049,6.353439848,6.373661795,6.23574081,6.113889238,6.073873807,5.529237474,5.774434744,5.568678348,5.297030551,5.615063202,5.397855033
"TMEM164",8.424050209,8.417646441,7.9588163,8.413216448,7.947123296,8.69443213,8.315687076,8.269838233,8.162922814,8.251746974,8.261761023,7.800847396,7.262066967,7.320155258,7.117659805,7.185310928,6.915350092,7.182703864
"PLS3",6.752278977,6.561949979,6.891643261,6.753248219,6.997033051,6.713150663,6.537338143,6.760511128,7.033749656,6.958721649,6.961205271,7.06472209,7.590776564,7.630953558,7.700339719,8.260230587,8.222387632,7.786460145
"WDR44",7.040847256,6.816943004,7.332968678,6.969498229,7.435142018,6.860526105,6.720283029,7.059674137,7.451906482,7.164779871,7.216530771,7.493278091,7.495428717,7.78824993,7.929727876,8.335523406,8.574134948,7.76987613
"DOCK11",5.605980257,5.332466357,5.980565862,5.560018957,5.942995939,5.44941329,5.127378949,5.639441132,5.872064898,5.6378192,5.662629843,5.72060604,6.51779361,6.938037975,7.000753667,7.506270846,7.486958689,6.70887402
"IL13RA1",8.861635541,8.648309464,8.943476392,8.825643244,9.038126226,8.83407038,8.688018399,8.908221712,9.059160988,8.95761977,8.88838875,9.004976498,9.171454206,9.437860103,9.317512957,9.84715008,9.788716475,9.534025106
"LONRF3",4.422417637,4.423547239,4.685666695,4.415953661,4.507138148,4.345506272,4.46688403,4.392270935,4.658681071,4.316848172,4.274152556,4.41685057,5.146257753,4.894025163,5.071631474,6.092940427,6.250876376,6.085687786
"FGF13",7.521859175,7.487857519,7.382746531,7.507145365,7.213999067,7.704634281,7.468047364,7.70374925,7.477425734,7.590700854,7.488613345,7.329094762,8.041872994,7.914806514,8.395146618,8.379845352,8.099050895,8.807126684
"AC244197.3",5.654023804,5.365727276,5.380640522,5.594785227,5.935537736,5.460655041,5.366988124,5.789351654,5.677209533,5.606436224,5.478813297,5.404742231,5.730704504,5.994347383,5.688851857,6.954489212,6.386158554,6.241496476
"MTMR1",7.757918035,7.522591107,7.475947687,7.671398208,7.796538481,7.574965653,7.49245038,7.768754998,7.894287789,7.743623042,7.711097283,7.752877218,8.326926456,8.352827042,8.342570838,8.655484624,8.653028623,8.474896399
"BCAP31",10.98237796,10.68161821,10.57571772,10.85287023,10.54849506,10.68855347,10.75048639,10.95095529,10.62708932,10.80144129,10.75704052,10.57532873,10.19691956,10.09648054,10.09285436,9.750701651,9.903403712,9.891287056
"L1CAM",7.090611479,7.203290204,6.907736583,7.195455026,6.800947896,7.063690886,7.175713312,7.031795355,6.944496741,6.979790174,6.921343911,6.868078096,7.875373533,7.837685692,7.87296426,7.79426131,7.692677221,8.086859111
"GOLGA2P7",9.907210484,10.0329652,10.00352929,9.835251473,9.57006538,10.01044723,9.739545908,9.844960286,9.646761469,9.758082611,9.707229503,9.271297388,8.735386376,8.921133382,8.740638389,8.425640982,8.84259438,8.953164516
"AC044860.1",9.907210484,10.0329652,10.00352929,9.835251473,9.57006538,10.01044723,9.739545908,9.844960286,9.646761469,9.758082611,9.707229503,9.271297388,8.735386376,8.921133382,8.740638389,8.425640982,8.84259438,8.953164516
"MTRNR2L8",12.68760926,12.63201064,12.66440996,12.92079529,12.77801081,12.56855653,12.79264583,12.57539631,13.05189817,12.58150413,12.56784821,13.14553777,12.13233989,12.09249783,12.21546606,11.6631802,12.16420552,11.9987972
"RNF141",12.68760926,12.63201064,12.66440996,12.92079529,12.77801081,12.56855653,12.79264583,12.57539631,13.05189817,12.58150413,12.56784821,13.14553777,12.13233989,12.09249783,12.21546606,11.6631802,12.16420552,11.9987972
"MIR3198-1",9.332153621,9.048567302,8.91178407,9.231643135,9.095639181,9.104842277,9.04117483,9.174892555,9.146454607,9.422933034,9.628349067,9.137786094,8.307686572,8.29579888,7.97208005,8.560343482,8.219834698,8.008685312
"DGCR8",7.246112855,7.171074026,6.968121044,7.224074584,6.932593309,7.190466287,7.121511686,7.273733419,6.967762032,7.374970897,7.415784444,7.121648861,7.908795698,7.699174926,7.869794626,8.412268642,7.79021142,7.957065338
"CRKL",8.199899984,8.098562927,7.889802002,8.139803228,8.351022457,8.211247081,8.036650741,8.232866268,8.284309215,8.296578833,8.310526244,8.141234641,8.618461533,8.550093494,8.794380932,9.24111446,9.019324791,8.974303829
